Ray_ID,rho_X,rho_Y,Surf_num,Ray_L,Ray_M,Ray_N,Surf_L,Surf_M,Surf_N,Index_in,Index_out
23,-0.353553391,0.176776695,2,-0.045398273,0.022699136,0.998711042,-0.063725987,0.031862993,-0.997458645,1,1.518522388
23,-0.353553391,0.176776695,3,-0.00802905,0.004014525,0.999959708,0.075805617,-0.037902808,-0.99640197,1.518522388,1
23,-0.353553391,0.176776695,4,0.027287314,-0.013643657,0.999534518,0,0.707106781,-0.707106781,1,1
23,-0.353553391,0.176776695,5,0.027287314,-0.013643657,0.999534518,0,0.707106781,-0.707106781,1,1
23,-0.353553391,0.176776695,6,0.027287314,0.999534518,-0.013643657,0,1,0,1,1
23,-0.353553391,0.176776695,7,0.027287314,0.999534518,-0.013643657,0.707106781,-0.707106781,0,1,1
23,-0.353553391,0.176776695,8,0.027287314,0.999534518,-0.013643657,0.707106781,-0.707106781,0,1,1
23,-0.353553391,0.176776695,9,0.999534518,0.027287314,-0.013643657,-1,0,0,1,1
23,-0.353553391,0.176776695,10,0.999534518,0.027287314,-0.013643657,-1,0,0,1,1
24,-0.353553391,0.353553391,1,-0.045363226,0.045363226,0.997940056,0,0,-1,1,1
24,-0.353553391,0.353553391,2,-0.045363226,0.045363226,0.997940056,-0.063177567,0.063177567,-0.996000597,1,1.518522388
24,-0.353553391,0.353553391,3,-0.008131856,0.008131856,0.999933871,0.075877434,-0.075877434,-0.994225945,1.518522388,1
24,-0.353553391,0.353553391,4,0.027273363,-0.027273363,0.999255887,0,0.707106781,-0.707106781,1,1
24,-0.353553391,0.353553391,5,0.027273363,-0.027273363,0.999255887,0,0.707106781,-0.707106781,1,1
24,-0.353553391,0.353553391,6,0.027273363,0.999255887,-0.027273363,0,1,0,1,1
24,-0.353553391,0.353553391,7,0.027273363,0.999255887,-0.027273363,0.707106781,-0.707106781,0,1,1
24,-0.353553391,0.353553391,8,0.027273363,0.999255887,-0.027273363,0.707106781,-0.707106781,0,1,1
